STAR,FEEDBACK
5,Tighten up
1,The excuse that the delivery was late was because the restaurant was late in cooking.
5,BGETS
1,"i’ve spent thousands and thousands of dollars through this app over the years, but the customer service is racist and bizarre. an offensive waste of time"
5,"Coupang Eats Ta Donne says it’s inconvenient! But in my neighborhood, Coupang Eats is the best bag haha."
5,Very professional delivery service and delivery charge was so cheap.
5,"I think this app is definitely more delivery friendly for English speakers in comparison to other ones. I like that the delivery drivers, that I’ve had so far, have arrived in a car instead of those crazy motorcycles. Great service!"
4,"Fast, cheap and versatile"
1,"The app has locked me out of my account after updating. For more than 6 months I cannot access my account because it asks me for the “name” I typed in. I have no idea what I typed. Nothing works. Can’t use the same “email a password to a user” that the rest of the world uses. No, coupang is special, so we have to remember whatever stupid name we typed when we made the account or the app becomes useless."
5,value for money
5,Coupang is the fastest.
1,"Please add confirmation step before purchase. You know once customer order, it is almost impossible to cancel order. Last time I just wanted to check discount applying correctly but unlike other food delivery service, there were no order confirmation step and I should have to purchase menu which I have never wanted. I even called customer service & diner immediately but they refused to cancel.

If order procedure is highly impossible to cancel, there should be confirmation step before purchase."
5,"For ordering food in Korea, especially as a foreigner, there’s nothing better. The only bad things are on the end of the restaurants, which is just bound to happen from time to time. I made the switch from Yogiyo ages ago and I’ve never looked back."
5,"I don't usually like pig's feet.
The pig's feet here are very good!!!

I ate nothing left."
5,Coupang Eats is a MUST have app for expats living in Korea. English translation for menus is always growing. The app is rock-solid and support has been quick and easy if there is an order or delivery problem.
2,Recently the app has had trouble connecting orders to delivery partners or the order times will become significantly delayed. This doesn’t happen when ordering the same menu from other apps. Needs to be addressed.
5,It's sweet and spicy and delicious.
1,"This is a terrible food delivery service!!!! 4 times in a week I had my order delayed for two or three hours, and I had to refuse it. this is a terrible service"
1,"If phone number verification is not possible, there must be another verification method. Phone number verification is frustrating with all three payment methods."
3,App is great but lacking English Language
1,Worst
1,"i saw the recent incident calling women “pussy” and what not. Those comments were purely sexist, disrespectful and out of date. Whoever wrote it and confirmed it both should be suspended at least. do educate your team better. such a shame, i really found the app to be useful."
1,YOU SHOULD NOT USE THIS APP
1,"The app is very convenient and good, but the customer service center only has phone calls or emails, but they don't answer the phone, so it's very difficult to connect, and emails go unanswered even after a few days. We need a chat service like Baemin."
1,"Misogyny company
Be Shameful"
3,"It's nice that they support English, but the menus are a bit strange in English. I wish I could set the language within the app."
5,It would be perfect if you added dark mode!!!
5,I really enjoyed the meal
5,Excellent!!!
1,"The service is a frog. The delivery driver didn't look at the request line and started banging on the door, swearing, and throwing the food. But the customer service center apologized for not being able to help. It played on repeat hahahahaha. It's a delivery app, but I'm an anorexic person. Just looking at food makes me throw up and get sick."
3,"It's a chronic problem.
Always delay the expected delivery time little by little.
It's Cheetah Delivery and it puts it to shame.
Not once or twice, but almost every time
I can't express it other than commercialism haha.
There’s a chronic issue of this app alwaysssss delaying the estimated delivery time. Why are they putting forward ‘Cheetah delivery’ in the first place when they change the time gradually EVERY SINGLE TIME?!"
1,They don’t allow account deletion. They only tell you to delete the app as you can’t delete Coupang Eats account separately. But I never signed up for Coupang so I don’t know what’s going on. Suspect privacy policy.
5,Please link it to Apple Watch!
2,Please support iPad landscape mode
5,"I'm not good at Korean, so I write in English.

I’m a foreigner living in Korea who has been ordering delivery for years. I used to use a different app but switched over to coupang eats because of the menu layout and speedy delivery. My only complaints are how there isn't a language setting for the app because even though my phone language is set in English I would like to read the menu items in Korean so I know exactly what I'm ordering(sometimes the translations are off ). The only way I can read the menu items in Korean is to change my phone language to Korean which is a bit inconvenient. Also recently they changed the disposable utensil option so you have to remember to request it which I have forgotten to do like 10 times now since I’m so used to not having to request it for YEARS. I had to eat my cake and scone today with wooden chopsticks that I found which triggered me to write this review lol. Please at least make it a yes or no option instead of an automatic no if you don’t check the box. My Korean friends also complained about this and constantly forgot to request it as well when we ordered delivery."
